date_mesure,niveau_nappe_eau,profondeur_nappe,mode_obtention,code_producteur
1988-06-16,135.69,5.81,Valeur mesurée,40494388800036
1988-10-21,135.72,5.78,Valeur mesurée,40494388800036
1988-11-04,135.7,5.8,Valeur mesurée,40494388800036
1988-11-18,135.65,5.85,Valeur mesurée,40494388800036
1988-12-19,135.85,5.65,Valeur mesurée,40494388800036
1989-01-06,135.78,5.72,Valeur mesurée,40494388800036
1989-01-20,135.71,5.79,Valeur mesurée,40494388800036
1989-02-07,135.68,5.82,Valeur mesurée,40494388800036
1989-02-14,135.67,5.83,Valeur mesurée,40494388800036
1989-03-02,135.75,5.75,Valeur mesurée,40494388800036
1989-03-16,135.74,5.76,Valeur mesurée,40494388800036
1989-04-10,135.8,5.7,Valeur mesurée,40494388800036
1989-04-24,135.85,5.65,Valeur mesurée,40494388800036
1989-05-05,135.79,5.71,Valeur mesurée,40494388800036
1989-05-19,135.74,5.76,Valeur mesurée,40494388800036
1989-06-02,135.64,5.86,Valeur mesurée,40494388800036
1989-06-16,135.6,5.9,Valeur mesurée,40494388800036
1989-06-30,135.6,5.9,Valeur mesurée,40494388800036
1989-07-14,135.64,5.86,Valeur mesurée,40494388800036
1989-08-16,135.59,5.91,Valeur mesurée,40494388800036
1989-09-15,135.58,5.92,Valeur mesurée,40494388800036
1989-09-29,135.57,5.93,Valeur mesurée,40494388800036
1989-10-11,135.6,5.9,Valeur mesurée,40494388800036
1989-11-01,135.6,5.9,Valeur mesurée,40494388800036
1990-01-17,135.56,5.94,Valeur mesurée,40494388800036
1990-02-28,135.85,5.65,Valeur mesurée,40494388800036
1990-03-05,135.72,5.78,Valeur mesurée,40494388800036
1990-03-12,135.77,5.73,Valeur mesurée,40494388800036
1990-03-19,135.66,5.84,Valeur mesurée,40494388800036
1990-03-26,135.71,5.79,Valeur mesurée,40494388800036
1990-04-02,135.69,5.81,Valeur mesurée,40494388800036
1990-04-09,135.65,5.85,Valeur mesurée,40494388800036
1990-04-16,135.68,5.82,Valeur mesurée,40494388800036
1990-04-23,135.67,5.83,Valeur mesurée,40494388800036
1990-04-30,135.65,5.85,Valeur mesurée,40494388800036
1990-05-07,135.65,5.85,Valeur mesurée,40494388800036
1990-05-14,135.65,5.85,Valeur mesurée,40494388800036
1990-05-21,135.63,5.87,Valeur mesurée,40494388800036
1990-05-28,135.61,5.89,Valeur mesurée,40494388800036
1990-06-04,135.6,5.9,Valeur mesurée,40494388800036
1990-06-11,135.61,5.89,Valeur mesurée,40494388800036
1990-06-18,135.66,5.84,Valeur mesurée,40494388800036
1990-06-25,135.65,5.85,Valeur mesurée,40494388800036
1990-07-02,135.65,5.85,Valeur mesurée,40494388800036
1990-07-09,135.68,5.82,Valeur mesurée,40494388800036
1990-07-16,135.64,5.86,Valeur mesurée,40494388800036
1990-07-23,135.6,5.9,Valeur mesurée,40494388800036
1990-07-30,135.55,5.95,Valeur mesurée,40494388800036
1990-08-06,135.53,5.97,Valeur mesurée,40494388800036
1990-08-13,135.48,6.02,Valeur mesurée,40494388800036
1990-08-20,135.5,6.0,Valeur mesurée,40494388800036
1990-08-27,135.49,6.01,Valeur mesurée,40494388800036
1990-09-03,135.49,6.01,Valeur mesurée,40494388800036
1990-09-10,135.49,6.01,Valeur mesurée,40494388800036
1990-09-17,135.51,5.99,Valeur mesurée,40494388800036
1990-09-24,135.54,5.96,Valeur mesurée,40494388800036
1990-10-01,135.54,5.96,Valeur mesurée,40494388800036
1990-10-08,135.56,5.94,Valeur mesurée,40494388800036
1990-10-15,135.55,5.95,Valeur mesurée,40494388800036
1990-10-22,135.53,5.97,Valeur mesurée,40494388800036
1990-10-29,135.52,5.98,Valeur mesurée,40494388800036
1990-11-05,135.62,5.88,Valeur mesurée,40494388800036
1990-11-12,135.61,5.89,Valeur mesurée,40494388800036
1990-11-19,135.63,5.87,Valeur mesurée,40494388800036
1990-11-26,135.72,5.78,Valeur mesurée,40494388800036
1990-12-03,135.66,5.84,Valeur mesurée,40494388800036
1990-12-10,135.63,5.87,Valeur mesurée,40494388800036
1990-12-17,135.6,5.9,Valeur mesurée,40494388800036
1990-12-24,135.63,5.87,Valeur mesurée,40494388800036
1990-12-31,135.77,5.73,Valeur mesurée,40494388800036
1991-01-07,135.8,5.7,Valeur mesurée,40494388800036
1991-01-14,135.75,5.75,Valeur mesurée,40494388800036
1991-01-21,135.73,5.77,Valeur mesurée,40494388800036
1991-01-28,135.67,5.83,Valeur mesurée,40494388800036
1991-02-04,135.64,5.86,Valeur mesurée,40494388800036
1991-02-11,135.64,5.86,Valeur mesurée,40494388800036
1991-02-18,135.63,5.87,Valeur mesurée,40494388800036
1991-02-25,135.63,5.87,Valeur mesurée,40494388800036
1991-03-04,135.56,5.94,Valeur mesurée,40494388800036
1991-03-11,135.58,5.92,Valeur mesurée,40494388800036
1991-03-18,135.62,5.88,Valeur mesurée,40494388800036
1991-03-25,135.68,5.82,Valeur mesurée,40494388800036
1991-04-01,135.67,5.83,Valeur mesurée,40494388800036
1991-04-08,135.65,5.85,Valeur mesurée,40494388800036
1991-04-15,135.62,5.88,Valeur mesurée,40494388800036
1991-04-22,135.6,5.9,Valeur mesurée,40494388800036
1991-04-29,135.6,5.9,Valeur mesurée,40494388800036
1991-05-06,135.63,5.87,Valeur mesurée,40494388800036
1991-05-13,135.63,5.87,Valeur mesurée,40494388800036
1991-05-20,135.65,5.85,Valeur mesurée,40494388800036
1991-05-27,135.63,5.87,Valeur mesurée,40494388800036
1991-06-03,135.59,5.91,Valeur mesurée,40494388800036
1991-06-10,135.61,5.89,Valeur mesurée,40494388800036
1991-06-17,135.58,5.92,Valeur mesurée,40494388800036
1991-06-24,135.62,5.88,Valeur mesurée,40494388800036
1991-07-01,135.62,5.88,Valeur mesurée,40494388800036
1991-07-08,135.56,5.94,Valeur mesurée,40494388800036
1991-07-15,135.57,5.93,Valeur mesurée,40494388800036
1991-07-22,135.58,5.92,Valeur mesurée,40494388800036
1991-07-29,135.59,5.91,Valeur mesurée,40494388800036
1991-08-05,135.56,5.94,Valeur mesurée,40494388800036
1991-08-12,135.54,5.96,Valeur mesurée,40494388800036
1991-08-19,135.54,5.96,Valeur mesurée,40494388800036
1991-08-26,135.53,5.97,Valeur mesurée,40494388800036
1991-09-02,135.53,5.97,Valeur mesurée,40494388800036
1991-09-09,135.53,5.97,Valeur mesurée,40494388800036
1991-09-16,135.52,5.98,Valeur mesurée,40494388800036
1991-09-23,135.52,5.98,Valeur mesurée,40494388800036
1991-09-30,135.52,5.98,Valeur mesurée,40494388800036
1991-10-07,135.61,5.89,Valeur mesurée,40494388800036
1991-10-14,135.64,5.86,Valeur mesurée,40494388800036
1991-10-21,135.63,5.87,Valeur mesurée,40494388800036
1991-10-28,135.62,5.88,Valeur mesurée,40494388800036
1991-11-04,135.61,5.89,Valeur mesurée,40494388800036
1991-11-11,135.62,5.88,Valeur mesurée,40494388800036
1991-11-18,135.69,5.81,Valeur mesurée,40494388800036
1991-11-25,135.66,5.84,Valeur mesurée,40494388800036
1991-12-02,135.62,5.88,Valeur mesurée,40494388800036
1991-12-09,135.6,5.9,Valeur mesurée,40494388800036
1991-12-16,135.62,5.88,Valeur mesurée,40494388800036
1991-12-23,135.9,5.6,Valeur mesurée,40494388800036
1991-12-30,135.83,5.67,Valeur mesurée,40494388800036
1992-01-06,135.75,5.75,Valeur mesurée,40494388800036
1992-01-13,135.77,5.73,Valeur mesurée,40494388800036
1992-01-20,135.7,5.8,Valeur mesurée,40494388800036
1992-01-27,135.67,5.83,Valeur mesurée,40494388800036
1992-02-03,135.66,5.84,Valeur mesurée,40494388800036
1992-02-10,135.7,5.8,Valeur mesurée,40494388800036
1992-02-17,135.73,5.77,Valeur mesurée,40494388800036
1992-02-24,135.68,5.82,Valeur mesurée,40494388800036
1992-03-02,135.63,5.87,Valeur mesurée,40494388800036
1992-03-09,135.61,5.89,Valeur mesurée,40494388800036
1992-03-16,135.69,5.81,Valeur mesurée,40494388800036
1992-03-23,135.7,5.8,Valeur mesurée,40494388800036
1992-03-30,135.78,5.72,Valeur mesurée,40494388800036
1992-04-06,135.73,5.77,Valeur mesurée,40494388800036
1992-04-13,135.69,5.81,Valeur mesurée,40494388800036
1992-04-20,135.69,5.81,Valeur mesurée,40494388800036
1992-04-27,135.66,5.84,Valeur mesurée,40494388800036
1992-05-04,135.65,5.85,Valeur mesurée,40494388800036
1992-05-11,135.62,5.88,Valeur mesurée,40494388800036
1992-05-18,135.58,5.92,Valeur mesurée,40494388800036
1992-05-25,135.57,5.93,Valeur mesurée,40494388800036
1992-06-01,135.57,5.93,Valeur mesurée,40494388800036
1992-06-08,135.62,5.88,Valeur mesurée,40494388800036
1992-06-15,135.6,5.9,Valeur mesurée,40494388800036
1992-06-22,135.54,5.96,Valeur mesurée,40494388800036
1992-06-29,135.6,5.9,Valeur mesurée,40494388800036
1992-07-06,135.55,5.95,Valeur mesurée,40494388800036
1992-07-13,135.59,5.91,Valeur mesurée,40494388800036
1992-07-20,135.54,5.96,Valeur mesurée,40494388800036
1992-07-27,135.52,5.98,Valeur mesurée,40494388800036
1992-08-03,135.5,6.0,Valeur mesurée,40494388800036
1992-08-10,135.49,6.01,Valeur mesurée,40494388800036
1992-08-17,135.48,6.02,Valeur mesurée,40494388800036
1992-08-24,135.49,6.01,Valeur mesurée,40494388800036
1992-08-31,135.5,6.0,Valeur mesurée,40494388800036
1992-09-07,135.57,5.93,Valeur mesurée,40494388800036
1992-09-14,135.54,5.96,Valeur mesurée,40494388800036
1992-09-21,135.52,5.98,Valeur mesurée,40494388800036
1992-09-28,135.49,6.01,Valeur mesurée,40494388800036
1992-10-05,135.5,6.0,Valeur mesurée,40494388800036
1992-10-12,135.52,5.98,Valeur mesurée,40494388800036
1992-10-19,135.5,6.0,Valeur mesurée,40494388800036
1992-10-26,135.55,5.95,Valeur mesurée,40494388800036
1992-11-02,135.6,5.9,Valeur mesurée,40494388800036
1992-11-09,135.56,5.94,Valeur mesurée,40494388800036
1992-11-16,135.66,5.84,Valeur mesurée,40494388800036
1992-11-23,135.7,5.8,Valeur mesurée,40494388800036
1992-11-30,135.7,5.8,Valeur mesurée,40494388800036
1992-12-07,135.72,5.78,Valeur mesurée,40494388800036
1992-12-14,135.68,5.82,Valeur mesurée,40494388800036
1992-12-21,135.65,5.85,Valeur mesurée,40494388800036
